Row Labels;Sum of q2_gms
7270325;2522.69
10618558;32004.35
74248921;572
84447531;2844.25
110457226;2344.2
125200467;2209
139168386;20929.96
141281586;13308.9
199273762;678
232302167;2199
236651087;32
272161461;1875.5
287454811;6949.33
326845982;1199.78
330101072;199.99
338701567;285
394200667;11834.41
395600561;
427626150;406630.7
434375142;
435482817;9533.72
438819872;8619
449520316;4978.11
503331597;1539.74
503479397;999.31
515388421;349.99
543693092;815
562768600;1827.32
584121531;919.7
587009013;159
691842411;13439.5
701753962;11426.69
702104800;557.5
733257646;
753038971;89.8
780523412;2763927.09
785126926;4678.6
867592646;-743.26
867671986;3375
867687306;132
872045631;544805.38
880964556;889.9
888739146;341912.85
909858016;314698.51
921338652;26450.47
928182761;76999
928396056;1229
973538211;47206.8
995383401;188
1014974706;414
1025205690;9095.48
1056755996;
1062010041;2381.61
1074252250;192
1094555560;325
1102893066;
1113751076;22199
1184739126;1419.9
1196127722;7336
1238357600;1660.42
1360199761;41388.41
1376153052;
1478413641;52508.51
1494194101;
1497841871;4372.68
1534536311;
1713696641;-499.9
1762548981;
1829429710;148690.36
1878669671;18378.71
1911043491;59
1938309881;774
2037866401;
2048093381;3725
2067781010;46617
2084400100;1775
3597896012;30547.77
3602531112;8499
5741844302;7260.98
5915373012;24
6474541112;
6480290635;68223.96
6701375015;849.69
6743483825;968.8
7047852915;375
7595080112;
7879730525;33500.28
7894238912;2080.8
8327145012;2332178.35
8389203102;
8915629602;3281
9049652912;1949.6
9528022215;16990.38
9908121005;449
10188304602;105469.34
10519961115;749.97
11111446202;7289.15
11461212615;3187.06
11473816502;6319.2
11987107402;3565.77
12508448802;1101.9
12760745012;2404
13202239215;
13425733835;1253.14
13579368112;6554.2
13594546215;393
13841136912;5115
14155693105;4398
14311485635;709768659.8
14326443915;
14402561612;2055
14469079512;189.9
14591623415;
14594298315;9
14606514515;4849.68
14797928135;575
14814355612;1172
15081231815;12021.8
15250854225;
15256585715;
15271096415;689.9
15347783212;10107.41
15449594415;
15468184505;698
15500650405;3031.98
15547741312;4286
15555424915;21338.8
15644136605;13013.66
15724901535;4330.11
15789816412;135
15834103212;45
15972264612;158534.35
16020182005;3198
16036122605;5001
16076483435;9602.72
16084534135;9
16118991435;22086.25
16159677212;-1150.09
16225893435;
16245599902;
16273867335;
16297050535;9728.98
16304195425;58564.76
16331224712;1760.4
16337176212;1254
16444034005;47998.15
16741103612;1099
16748853315;1427.75
16837023912;47778.2
16906848602;879.9
17408517715;16289.8
17468003005;3764.01
17553697735;1301
17575815705;1491.74
17613745912;39711.28
17674980415;49.83
17736862435;465.9
17760353705;447.02
17944098612;213631.08
17963091835;582
18000012115;1648
18004945615;31
18012279615;7071.13
18047814405;98.3
18087831205;11579.93
18582298605;11046.6
18594278702;
18640872912;
18684127915;9
18724767835;389.9
18807653035;3003.85
18827242625;1261
18856194912;35848.18
18953668605;1909.02
18990672915;1336.8
18996207812;15484.48
19123206105;9776.9
19446533915;75
19470574802;
20042047835;369
20118415112;43947.03
20129953812;547912.53
20130600505;29776.55
20153426912;
20169727902;
20426942912;1954425.8
20542987115;6689.49
20729617112;
20765239325;2846.94
20781833515;3177.21
21005153112;
21005835112;259.11
21013569512;523225.14
21014987312;16808.55
21049809512;79104.76
21110003912;416868.15
21111392312;
21111707812;7166.31
21111767212;1015185.39
21112042012;1837104.56
21113102012;1458152.74
21115255612;2346582.75
21115305912;
21116014212;
21116355212;1999.8
21116384412;102885.49
21116560912;6898.8
21117342512;3907.38
21118013812;989931.3
21118665812;53196.65
21119493712;264630.99
21120315012;9128.03
21120751612;6231
21121321812;308879.93
21121362312;7566331.22
21122723412;93013.53
21123788212;10735.48
21125818412;2222.57
21125911912;401714.43
21128064112;13238.5
21128381612;4346.72
21131497012;3639.79
21133480712;37915.21
21149750512;36827.54
21151665612;38791.49
21152463912;52137.7
21153575912;1207
21154154212;-190.13
21155492312;21212.95
21155917512;8681.2
21156016312;48351.24
21161565012;186006.9
21161732212;
21162762912;5116853.75
21164640412;835
21168076512;7197
21171106812;5650.4
21171370312;531445.87
21173366612;5806.01
21182900912;7078.87
21186287812;598
21188759212;25304041.01
21189871912;98772.72
21190103512;439.5
21193074012;10389.4
21193334312;19668.28
21193458412;1653061.4
21193891312;
21195254612;1
21197415912;642843.65
21199478612;
21199657812;6528.66
21200181712;171021.85
21200302512;232802.97
21201607912;9801.5
21201646812;65900.62
21201785212;13999.42
21206999312;4398.6
21243587512;2625
21244693412;58328.63
21249839712;125502.89
21250084412;35
21251722812;10349.9
21256354512;7950.71
21258971312;10614.2
21261734212;80849.48
21264353412;
21268665612;150770.45
21268802412;106883.96
21271008912;9605.13
21271346612;171.88
21272206612;5988060.44
21272643012;3352
21281728112;59779.05
21294095912;142665.24
21330114212;598
21341007912;377388.89
21341447212;59246.95
21343269912;12333.94
21344487412;128388.94
21346227912;275743.57
21347167712;19636.02
21350210012;718758.87
21354494712;531
21360964012;3028386.25
21361231912;911.88
21367720112;3596
21374025712;72493.34
21400582712;2378.99
21402069912;205884.67
21409218112;125
21410646012;
21414987912;129275.1
21433671812;33037.7
21446054312;2181.24
21457266812;
21473927912;
21477114512;4918833.74
21478856712;1759
21479084312;13496.93
21483943412;12961.52
21487700412;709
21490195312;1935182.85
21500159412;4849
21502156012;5577
21517005912;776
21517594305;1
21521012812;100406.95
21526408812;6396400.58
21527199012;697096.37
21534290912;4082.38
21534712112;57599.4
21535368512;32494.17
21536296812;
21547065712;7122.89
21565135012;9247.35
21566468212;68745.08
21578609012;90084.57
21591528412;43275.71
21599456802;4012.85
21631687512;597519.63
21631958912;19427.83
21634322612;-3598
21637743912;130811.17
21638910412;55546.6
21644031012;40974.68
21651696812;941546.92
21665293512;170667.82
21670673212;3484.04
21671088312;1831
21671658312;6905616.81
21673589712;5224045.79
21678606312;1765
21680240712;110250.8
21683004412;4875
21703187312;6496.35
21703799512;
21704672512;77902.12
21704836012;269451.24
21709306312;25560.07
21713949812;35902.58
21733259112;3095.9
21776895712;8663.8
21780683312;977324.55
21781649012;11432.28
21782023912;289.9
21785684412;9994
21787083212;2299
21787924312;1606.55
21796210612;478
21796603412;35810.03
21829051202;8083.91
21833751612;561682.81
21835217312;
21836356812;
21841578212;65748.3
21856963712;38185.57
21865377812;1133534.56
21871533912;3140177.63
21905875915;
21934381212;4870.7
21934971612;133561.41
21944946612;32259.34
21948560112;71465.21
21955133212;1273.3
21959068912;168
21961037312;599.99
21967820112;77937.95
21969404212;45273.28
21972939512;3180.6
21981699512;335125.75
22017795812;1219.55
22057822005;7105.5
22088115512;
22098087312;12757.95
22103118112;1563
22105929112;16780.91
22109084712;10719.92
22111922112;2
